"Metric","xgboost","lstm","naive","cnn","sce"
"diff_of_means",-18.5920738230755,-22.3137163726082,-24.8898989941969,-29.1730223669291,"ec_earth3_ssp434"
"ratio_of_sd",0.93328716986426,0.892436226366645,0.883738766975269,0.992029441365261,"ec_earth3_ssp434"
"amplitude_ratio_of_means",0.617788995077689,0.703328865778161,0.598819317102455,0.758068409567745,"ec_earth3_ssp434"
"maximum_error",0.284844796104687,0.345709068776628,0.295496043822276,0.348752282410225,"ec_earth3_ssp434"
"ks_mean_on_coarse_res_with_extremes",0.339689804220691,0.20599526806839,0.441911373799916,0.244765858667023,"ec_earth3_ssp434"
"rainy_hours_ratio_of_means",0.740055580903397,0.669317627640021,0.655281328044662,0.711857644430259,"ec_earth3_ssp434"
"qqplot_mae",0.0373549197895622,0.0460716030792206,0.0533039353466933,0.0420076154028427,"ec_earth3_ssp434"
"acf_mae",0.145379090824807,0.126419696933599,0.182466831832246,0.11236758701207,"ec_earth3_ssp434"
"extremogram_mae",0.0818012116089039,0.0491951958298112,0.102704987320372,0.0414993660185968,"ec_earth3_ssp434"
